,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
log Kp (cm/s),0.1720062681280786,-0.252492994973267,0.04005899997807131,-0.05080334780911161,-0.03699671433402244,-0.08061770521611324,0.035119028494205104,-0.03959135410499113,0.082821728357089,0.08141416032243809,0.0729714482772758
Lipinski #violations,-0.05286094958658669,0.018816820798692537,0.10587237602364208,0.13829791054527138,0.4398274370166026,-0.3373226722120215,0.07832013778662464,0.058361984641207634,0.5139241424500098,-0.11539893278847659,-0.32084381719728716
Ghose #violations,0.2234941557588892,-0.07585866535938857,0.1272318704119479,0.12554221778704847,0.0011123492716195568,-0.1243918970886402,-0.04133100799611468,-0.018000316236240606,-0.016099070019129004,0.10018443247714011,0.050947945562428945
Veber #violations,0.006662750570802482,0.11545935381003519,0.05183881950550002,0.09911506128985109,-0.14208244824405464,-0.27194861573693135,0.2008720380447226,0.6349138680666503,-0.16207277642825021,0.5762634494055197,-0.07869032970480393
Egan #violations,0.22693829872639065,-0.06398564837980009,0.13059586169265,0.14575320096304192,-0.005626501181791409,-0.1548914516740125,-0.06904065852607472,-0.02047649936279519,0.024891690266091414,0.03805007740439352,0.18217839829830057
Muegge #violations,0.10946191616599205,0.07083690752509021,0.06276859440863504,0.30037967551291256,-0.3293627639891644,-0.2334069477521082,0.06218162489929331,0.11032063467236337,0.10230548973229814,-0.3898184021449592,-0.19515320762512547
Bioavailability Score,-0.0,-0.0,-0.0,-2.1895288505075267e-47,4.76288670900528e-44,-7.528994096849331e-41,1.755945593524472e-39,-0.0,-7.482557003474639e-39,-0.0,-0.0
Brenk #alerts,0.15496530223668492,0.04408508500190591,0.1993140982338956,-0.16478864601379598,0.019600791655931794,0.20597123847352655,0.14181249279732722,-0.193642869566141,0.20058493380894238,0.26972715048188634,0.06684528170513762
Leadlikeness #violations,0.12554874938752175,-0.11553763253773745,0.0021408120665688778,-0.29342801618663306,-0.004318503600439592,-0.16671576104814956,0.28308210701802433,-0.24452329886455887,-0.05204766352320174,-0.07465581406957765,-0.36321839628618924
Synthetic Accessibility,0.06696138838766957,0.2827135481336811,-0.08814937296520467,0.004606622655316893,-0.1439250314457174,-0.29449016456243443,0.16245593770663153,-0.032855193756770214,-0.006408904229727265,-0.1012679904571323,0.021311654193528366
