,PC1,PC2,PC3,PC4
FDAMDD,2.205739831304293,0.1938948415136335,0.5952879720531954,0.08403529780973798
SkinSen,1.1594219962076349,0.48651041429976116,1.2571950992288619,3.8711910563695198
Carcinogenicity,0.9086591669668551,0.4094516619850827,3.7341208551932743,2.180217031456928
EC,0.6916180202450795,3.7032582203172364,1.0917710580085764,1.0843209382586139
EI,0.1465331834096484,3.874597955074626,3.3327184165704855,0.4513576167336974
Respiratory,0.18600521471821949,2.760915680814381,3.3517232579761926,1.8667752813049523
BCF,2.479186844310531e-05,2.19915868081131,5.504102171866669,1.2525674901546622
IGC50,1.8335287260960738,0.13772152229964138,0.0037964218699975657,2.6293813594912105
LC50,2.2038812530258016,0.08310462639488156,0.5383670600607915,0.2522206423708454
LC50DM,1.0195866605358772,0.0664919235164124,4.496014927751902,1.0419907292338972
NR-AR,2.27721405114518,0.5199023721470621,0.003016470733339583,0.00797033854420073
NR-AR-LBD,2.0625112199475875,0.3422101937643136,0.6838102467905335,0.5142823728226575
NR-AhR,2.363817150660392,0.17546896510270124,0.020461460363939823,0.12793154067275275
NR-Aromatase,1.6990972427999902,1.9136430341332267,0.17520884567330872,0.2609832498410104
NR-ER,1.3607687067983703,1.9122081467247773,1.0153421515002157,0.9621702898465299
NR-ER-LBD,1.6294748737694542,0.41593793323159045,0.009201201278823068,3.715815620453518
NR-PPAR-gamma,1.5749815419844346,0.8936753438197904,1.2310894199860312,1.043480015715059
SR-ARE,2.1708070025386936,0.07058587679851962,0.08012126571263185,1.1038560687647772
SR-ATAD5,2.0057348795384033,0.04180149308345296,0.2638846192651441,1.9902753555162043
SR-HSE,0.032122910824386695,2.9917724100707708,2.708605594581777,0.26041275811425296
SR-MMP,2.0315926139620424,0.8754366508154474,0.31799863848789,0.00022517721086279735
SR-p53,1.8313519790374246,0.027378381328778612,0.8350355859150348,0.591170565925617
MW,2.0160361864919065,0.667782167311787,0.22525886350827,0.7827476191960413
Vol,1.7565621740955277,1.473251607196917,0.4175121218964173,0.3371441901326676
Dense,0.5991236501431281,3.3839398369016407,0.8946287010959503,2.1722843837545183
nHA,1.4663331968154902,2.5939484160529243,0.0001783996014470969,0.5569118959713547
nHD,2.1948325587579665,0.5968191168069953,0.16024757882783247,0.08928773810378365
TPSA,0.8159130490394205,4.188018048294766,0.09234971499821983,0.9800283119817769
nRot,0.49491042584898876,0.5182293464732364,5.270249751190538,2.0069820966146747
nRing,2.1948325587579665,0.5968191168069953,0.16024757882783247,0.08928773810378365
nHet,1.9968798627358124,0.40070359095142405,0.0006835391454047444,1.7340370921419854
nRig,2.0220157192232677,1.130731170990284,0.18740602659149974,0.003526111987799821
Flex,1.0394205941992665,0.14525836703573436,3.8497193812892108,1.776900634388861
Skin_Sensitization,1.3699834018751795,0.06621038376360056,3.2017616910261766,1.0789209549388046
Toxicophores,1.6701662525100733,1.1579695625075552,0.23093039535694482,1.8026987693923822
Genotoxic_Carcinogenicity_Mutagenicity,1.36998340187518,0.06621038376360061,3.2017616910261815,1.0789209549388064
QED,1.7188240893256115,0.3261525672227706,1.5077484464084536,1.0856983504803253
Synth,2.289690310323245,0.22634710136681907,0.13000119017651846,0.29840294794218747
Fsp3,0.29250615938648594,0.44939818116626573,0.8148542887687374,7.416570991278043
MCE-18,2.03988333942204,0.9005129920047619,0.031949051560538226,0.46490947959507933
Natural Product-likeness,0.9366767708941348,4.397956892977183,0.002081013341803056,0.14726572605106047
Alarm_NMR,1.828696864657059,0.8725752615133583,0.9910225576328522,0.36534570794457494
Chelating,1.3699834018751793,0.06621038376360061,3.2017616910261815,1.0789209549388064
GoldenTriangle,2.1948325587579665,0.5968191168069953,0.16024757882783247,0.08928773810378365
