Active Ingredient,Drug Class,SMILES,# Atoms,Length,ERROR_STATUS,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
METHYLNALTREXONE BROMIDE,,[Br-].C[N+]1(CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35)CC6CC6,27,71,SUCCESS,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,-1.658,0.491,-0.245,0,0.97,0.97,1,1,-6.071,5.69E-06,0.204,14.54%,1.744,78.01%,0.018,0.13,0.023,0.108,0.006,0.141,0.125,0.82,0.036,0.355,23.109,0.95,0.055,0.362,0.022,0.05,0.964,0.976,0.852,0.937,0.003,0.01,0.259,0.453,2.074,2.868,3.721,0.018,0.021,0.025,0.013,0.096,0.007,0.007,0.111,0.005,0.013,0.016,0.322,356.19,357.363,0.997,5,2,66.76,2,6,3,5,1,26,0.077,5,1,0,3,0,1,5,1,1,0.791,5.589,0.667,164,1.892,1,0,1,0,Accepted,Accepted,Accepted,Accepted
ZAFIRLUKAST,,COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)N[S](=O)(=O)c5ccccc5C,41,71,SUCCESS,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,-4.804,2.371,5.512,0.999,0.921,0.004,0.003,0.32,-5.248,2.63E-05,0.021,99.36%,0.337,0.47%,0.115,0.386,0.391,0.614,0.91,0.919,0.027,0.225,0.827,0.912,1.375,0.136,0.116,0.686,0.986,0.011,0.746,0.937,0.038,0.189,0.003,0.006,0.003,0.584,4.696,4.671,4.863,0.672,0.018,0.366,0.039,0.532,0.013,0.958,0.613,0.012,0.008,0.868,0.429,575.21,574.553,1.001,9,2,115.73,11,5,9,10,0,31,0.355,0,0,1,2,0,0,5,1,3,0.279,2.695,0.29,69.75,-0.947,2,0,0,0,Rejected,Accepted,Rejected,Rejected
NANDROLONE DECANOATE,,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,31,71,SUCCESS,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@]12C,-6.584,5.068,7.78,0.554,0.003,0.008,0.999,0.998,-4.724,2.29E-05,0.459,93.73%,0.839,1.65%,0.176,0.149,0.319,0.179,0.476,0.662,0.058,0.096,0.89,0.343,12.209,0.192,0.584,0.132,0.857,0.017,0.039,0.885,0.959,0.331,0.195,0.111,0.962,0.975,4.984,5.641,5.183,0.977,0.959,0.006,0.127,0.979,0.954,0.962,0.368,0.006,0.184,0.768,0.588,428.33,477.08,0.898,3,0,43.37,10,4,17,3,0,22,0.455,6,0,0,0,0,1,1,1,0,0.222,4.154,0.857,58.385,1.915,0,1,0,0,Accepted,Rejected,Rejected,Rejected
METHICILLIN SODIUM,,O.[Na+].COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O,28,71,SUCCESS,COc1cccc(OC)c1C(=O)NC1C(=O)N2C(C(=O)[O-])C(C)(C)S[C@H]12,-2.086,-0.365,0.738,0.985,0.066,0.033,0.945,0.671,-5.188,1.37E-05,0.038,49.90%,0.251,65.62%,0.017,0.11,0.024,0.405,0.044,0.333,0.075,0.133,0.021,0.134,4.071,0.914,0.007,0.827,0.923,0.01,0.024,0.007,0.363,0.012,0.003,0.008,0.012,0.424,2.55,3.866,4.635,0.22,0.003,0.054,0.006,0.246,0.006,0.019,0.441,0.005,0.015,0.009,0.008,379.1,353.026,1.074,8,1,108,6,3,7,9,-1,17,0.353,3,0,0,0,0,0,3,0,2,0.695,3.729,0.471,73.04,0.19,4,1,0,0,Accepted,Accepted,Accepted,Accepted
GANAXOLONE,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,24,71,SUCCESS,CC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.683,4.504,4.949,0.993,0.008,0.005,0.535,0.896,-4.642,1.69E-05,0.403,93.21%,1.359,2.87%,0.263,0.417,0.155,0.889,0.249,0.165,0.023,0.379,0.868,0.421,20.921,0.249,0.385,0.25,0.822,0.008,0.385,0.114,0.954,0.468,0.994,0.714,0.982,0.884,3.416,3.643,4.089,0.943,0.933,0,0.069,0.813,0.899,0.002,0.46,0.012,0.072,0.528,0.059,332.27,369.786,0.899,2,1,37.3,1,4,17,2,0,21,0.048,8,0,0,0,0,1,1,2,1,0.735,4.279,0.955,75.349,2.192,0,0,0,0,Accepted,Rejected,Rejected,Accepted
CEPHALEXIN HYDROCHLORIDE,,O.[Cl-].CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O.[H+],27,71,SUCCESS,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,-1.792,-0.11,0.461,0,0.624,0.051,0.003,0.002,-6.224,1.56E-06,0.016,18.55%,0.186,77.81%,0.014,0.046,0.042,0.064,0.085,0.591,0.045,0.157,0.028,0.565,2.375,0.916,0.025,0.591,0.971,0.008,0.115,0.003,0.571,0.041,0.003,0.014,0.025,0.213,2.387,3.258,3.896,0.189,0.016,0.042,0.035,0.119,0.006,0.011,0.465,0.006,0.067,0.02,0.025,347.09,327.828,1.059,7,4,112.73,5,3,8,8,0,18,0.278,3,0,0,0,0,0,4,2,2,0.682,3.364,0.312,62.429,0.265,2,1,0,0,Accepted,Accepted,Accepted,Accepted
METRIZAMIDE,,CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NC2[C@@H](O)OC(CO)[C@@H](O)C2O)c1I,32,71,SUCCESS,CC(=O)Nc1c(I)c(C(=O)NC2C(O)[C@H](O)C(CO)O[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,-0.567,0.015,-1.883,0.006,0.994,0.977,0.236,0.928,-5.453,1.77E-05,0.184,6.74%,0.31,93.01%,0.013,0.076,0.011,0.201,0.005,0.09,0.007,0.094,0.019,0.117,1.36,0.965,0.006,0.158,0.43,0.087,0.009,0.005,0.021,0.03,0.003,0.006,0.005,0.747,3.057,4.044,4.733,0.849,0.084,0.026,0.006,0.666,0.062,0.179,0.398,0.008,0.003,0.104,0.076,788.85,466.095,1.692,11,6,168.66,8,2,6,14,0,15,0.533,5,0,0,1,1,3,6,1,1,0.227,4.425,0.5,70.778,0.375,1,1,0,0,Rejected,Accepted,Rejected,Rejected
FLUOXYMESTERONE,,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,24,71,SUCCESS,C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-2.67,2.378,2.652,0.03,0.308,0.003,0.582,0.026,-4.643,2.39E-05,0.725,54.72%,0.732,35.34%,0.012,0.717,0.022,0.8,0.027,0.068,0.003,0.033,0.893,0.793,6.673,0.846,0.052,0.132,0.075,0.021,0.952,0.973,0.924,0.941,0.883,0.25,0.99,0.224,2.31,2.476,3.603,0.99,0.993,0.044,0.586,0.945,0.902,0.036,0.667,0.031,0.022,0.946,0.28,336.21,347.416,0.968,3,2,57.53,0,4,17,4,0,21,0,7,1,0,0,0,1,1,2,0,0.667,4.701,0.85,79.946,2.25,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CALCIFEDIOL,,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C,29,71,SUCCESS,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,-5.45,4.947,5.601,0.442,0.001,0.002,0.008,0.004,-4.782,3.06E-05,0.017,91.78%,1.396,0.90%,0.166,0.367,0.295,0.589,0.344,0.065,0.063,0.093,0.804,0.451,6.102,0.106,0.334,0.957,0.055,0.016,0.899,0.967,0.907,0.033,0.004,0.032,0.969,2.11,4.706,5.935,4.867,0.009,0.006,0.409,0.369,0.113,0.005,0.126,0.941,0.005,0.874,0.841,0.931,400.33,459.55,0.871,2,2,40.46,6,3,9,2,0,19,0.316,5,0,0,0,1,0,0,1,0,0.518,4.393,0.778,55,2.631,0,0,0,0,Accepted,Rejected,Rejected,Accepted
NEDOCROMIL SODIUM,,[Na+].[Na+].CCCc1c2OC(=CC(=O)c2cc3C(=O)C=C(N(CC)c13)C([O-])=O)C([O-])=O,29,71,SUCCESS,CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12,-3.021,-0.294,0.724,0.17,0.001,0.404,0.438,0.961,-4.83,3.98E-05,0.016,80.50%,0.526,8.55%,0.155,0.093,0.034,0.057,0.089,0.114,0.014,0.055,0.012,0.012,2.293,0.635,0.005,0.96,0.966,0.03,0.324,0.937,0.489,0.782,0.003,0.013,0.758,0.438,3.501,4.962,4.294,0.052,0.017,0.691,0.021,0.082,0.048,0.081,0.037,0.008,0.034,0.066,0.03,369.09,357.675,1.032,8,0,132.47,5,3,14,8,-2,20,0.25,0,1,0,3,0,1,0,0,2,0.569,3.529,0.263,21,-0.211,0,0,0,0,Accepted,Accepted,Accepted,Accepted
OXYMETHOLONE,,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C(/C[C@]4(C)[C@H]3CC[C@]12C)=C\O,24,70,SUCCESS,C[C@]12CC(C=O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,-2.319,2.897,3.147,0.996,0.018,0.005,0.017,0.089,-4.651,2.02E-05,0.492,58.81%,0.779,30.83%,0.024,0.686,0.026,0.759,0.028,0.042,0.006,0.054,0.903,0.751,21.781,0.78,0.171,0.133,0.234,0.072,0.13,0.893,0.951,0.783,0.925,0.341,0.972,0.204,2.794,2.794,3.359,0.992,0.993,0.004,0.706,0.977,0.944,0.01,0.888,0.014,0.025,0.849,0.655,332.24,358.644,0.926,3,1,54.37,1,4,17,3,0,22,0.045,8,0,0,0,1,1,3,2,1,0.587,4.602,0.905,75.6,2.106,1,1,0,0,Accepted,Rejected,Accepted,Accepted
NALOXONE HYDROCHLORIDE,,[Cl-].Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC=C.[H+],26,70,SUCCESS,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,-2.433,0.968,1.816,0.002,0.134,0.005,0.986,0.865,-5.313,1.92E-05,0.982,44.97%,1.924,63.69%,0.057,0.287,0.045,0.584,0.035,0.288,0.598,0.849,0.104,0.596,16.799,0.783,0.166,0.211,0.038,0.155,0.929,0.935,0.602,0.948,0.003,0.013,0.88,0.476,2.206,3.286,3.875,0.127,0.481,0.215,0.342,0.289,0.022,0.018,0.09,0.077,0.065,0.127,0.853,327.15,327.373,0.999,5,2,70,2,5,0,5,0,24,0.083,4,1,0,3,0,1,4,0,2,0.802,5.178,0.526,134,1.942,1,0,1,0,Accepted,Accepted,Accepted,Accepted
TOCOPHEROL ACETATE,,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(OC(C)=O)c(C)c(C)c2O1,34,70,SUCCESS,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,-7.482,7.058,9.953,0.145,0.003,0.004,0.993,0.952,-5.072,9.54E-06,0.927,100.55%,4.306,2.36%,0.062,0.2,0.193,0.818,0.113,0.875,0.003,0.112,0.218,0.127,4.378,0.034,0.005,0.023,0.677,0.011,0.201,0.038,0.948,0.034,0.009,0.468,0.101,2.619,5.539,6.433,6.168,0.175,0.003,0.19,0.641,0.097,0.029,0.006,0.599,0.001,0.056,0.209,0.025,472.39,543.444,0.869,3,0,35.53,14,2,10,3,0,12,1.167,3,0,0,0,0,0,1,0,0,0.212,3.845,0.774,59.073,1.351,0,1,0,0,Accepted,Rejected,Rejected,Rejected
METOPROLOL SUCCINATE,,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc2ccc(OCC(O)CNC(C)C)cc2.OC(=O)CCC(O)=O,46,70,SUCCESS,COCCc1ccc(OCC(O)CNC(C)C)cc1,-1.598,1.895,1.706,0.002,0.961,0.007,0.002,0.004,-4.558,4.09E-05,0.385,15.47%,2.583,71.65%,0.137,0.105,0.056,0.912,0.01,0.078,0.353,0.889,0.012,0.765,12.756,0.221,0.343,0.339,0.007,0.055,0.067,0.436,0.626,0.093,0.003,0.011,0.248,1.063,2.853,2.889,4.555,0.003,0.002,0.013,0.003,0.176,0.004,0.004,0.021,0.004,0.006,0.008,0.006,267.18,288.898,0.925,4,2,50.72,9,1,6,4,0,6,1.5,1,0,0,0,0,1,0,0,0,0.714,2.386,0.6,14,-0.381,1,0,0,0,Accepted,Accepted,Accepted,Accepted
RAMIPRIL,,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(O)=O,30,70,SUCCESS,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCC[C@@H]21,-2.456,2.174,2.919,0.008,0.118,0.009,0.848,0.834,-5.645,4.65E-05,0.078,83.37%,0.424,24.20%,0.042,0.054,0.148,0.064,0.24,0.611,0.013,0.184,0.103,0.173,1.81,0.723,0.056,0.979,0.959,0.004,0.009,0.464,0.635,0.055,0.003,0.009,0.295,0.345,3.079,4.052,3.514,0.01,0.004,0.008,0.003,0.255,0.007,0.004,0.114,0.006,0.005,0.015,0.013,416.23,430.821,0.966,7,2,95.94,11,3,8,7,0,18,0.611,5,0,0,0,0,0,1,0,2,0.6,3.615,0.609,64.189,0.125,0,0,0,0,Accepted,Accepted,Rejected,Accepted
ESTETROL,,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,22,70,SUCCESS,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,-3.63,2.706,2.676,0.001,0.996,0.284,0.972,0.995,-5.065,4.56E-06,0.358,86.77%,1.892,5.77%,0.156,0.466,0.022,0.797,0.019,0.951,0.015,0.729,0.037,0.168,10.785,0.74,0.229,0.223,0.061,0.133,0.55,0.792,0.926,0.072,0.005,0.043,0.948,0.95,3.896,4.037,5.731,0.745,0.675,0.037,0.163,0.574,0.491,0.002,0.066,0.019,0.309,0.764,0.214,304.17,312.91,0.972,4,4,80.92,0,4,17,4,0,20,0,7,0,0,0,0,0,0,2,1,0.586,4.131,0.667,89.6,2.299,0,0,0,0,Accepted,Accepted,Accepted,Accepted
HETACILLIN,,CC1(C)N[C@@H](C(=O)N1[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4,27,70,SUCCESS,CC1(C)S[C@@H]2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O,-2.459,1.322,2.433,0.002,0.01,0.678,0.088,0.638,-5.684,2.29E-05,0.014,48.96%,0.294,64.80%,0.007,0.052,0.027,0.813,0.028,0.887,0.056,0.119,0.014,0.886,3.712,0.925,0.002,0.297,0.981,0.005,0.005,0.007,0.393,0.008,0.003,0.005,0.027,0.063,2.316,2.49,3.649,0,0.001,0.012,0.003,0.377,0.044,0.008,0.663,0.002,0.004,0.02,0.008,389.14,373.796,1.041,7,2,89.95,3,4,7,8,0,22,0.136,4,0,0,0,0,0,5,0,2,0.76,4.045,0.526,95.586,0.472,3,1,0,0,Accepted,Accepted,Accepted,Accepted
TAFENOQUINE SUCCINATE,,COc1cc(C)c2c(Oc3cccc(c3)C(F)(F)F)c(OC)cc(NC(C)CCCN)c2n1.OC(=O)CCC(O)=O,41,70,SUCCESS,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,-6.294,4.193,5.575,0.145,0.969,0.006,0.001,0.002,-5.111,1.00E-05,0.046,97.98%,6.135,1.91%,0.786,0.943,0.836,0.667,0.594,0.823,0.909,0.932,0.845,0.472,6.169,0.056,0.888,0.44,0.661,0.192,0.909,0.934,0.115,0.06,0.003,0.01,0.708,1.233,4.535,6.342,6.883,0.371,0.056,0.952,0.499,0.242,0.071,0.686,0.709,0.047,0.651,0.788,0.911,463.21,454.463,1.019,6,3,78.63,10,3,10,9,0,17,0.588,1,0,0,1,0,2,4,2,1,0.411,3.16,0.375,44,-0.63,6,0,0,0,Accepted,Accepted,Rejected,Accepted
COLESEVELAM HYDROCHLORIDE,,[H+].[Cl-].[Cl-].CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.NCC=C.ClCC1CO1,40,70,SUCCESS,C=CCNCCCCCC[N+](C)(C)C,0.534,-1.165,-0.459,0.001,0.988,0.88,0.355,0.974,-5.546,2.70E-06,0.128,22.18%,0.778,78.67%,0.007,0.29,0.019,0.063,0,0.118,0.008,0.93,0.009,0.091,4.938,0.911,0.013,0.051,0.003,0.007,0.424,0.859,0.733,0.029,0.907,0.161,0.926,0.074,1.974,3.52,3.489,0.001,0.001,0.002,0.018,0.134,0.011,0.005,0.099,0.004,0.004,0.006,0.003,199.22,236.784,0.841,2,1,12.03,9,0,0,2,1,1,9,0,0,0,0,0,0,1,2,2,0.34,2.652,0.833,0,0.207,0,0,0,0,Accepted,Accepted,Accepted,Rejected
ARTEMETHER,,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,21,69,SUCCESS,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,-4.869,3.465,3.586,0.738,0.005,0.004,0.003,0.025,-4.636,5.12E-05,0.256,76.44%,1.654,8.97%,0.075,0.987,0.029,0.931,0.034,0.038,0.005,0.842,0.09,0.538,10.864,0.503,0.715,0.956,0.905,0.781,0.343,0.016,0.697,0.534,0.606,0.818,0.976,2.177,3.308,4.597,6.461,0.001,0.573,0.001,0.181,0.048,0.08,0.012,0.037,0.069,0.16,0.358,0.933,298.18,295.018,1.011,5,0,46.15,1,5,0,5,0,19,0.053,8,0,0,0,1,1,2,1,1,0.697,5.734,1,90,3.83,0,1,0,0,Accepted,Rejected,Accepted,Accepted
INDIGOTINDISULFONATE SODIUM,,[Na+].O[S](=O)(=O)c1ccc2NC(/C(=O)c2c1)=C/3Nc4ccc(cc4C3=O)[S](O)(=O)=O,29,69,SUCCESS,O=C1C(c2[nH]c3ccc(S(=O)(=O)O)cc3c2O)=Nc2ccc(S(=O)(=O)O)cc21,-0.255,0.045,-0.62,0.003,0.001,0.882,0.996,0.995,-6.403,8.88E-06,0.012,98.06%,0.351,0.95%,0.221,0.157,0.07,0.051,0.054,0.818,0.007,0.083,0.01,0.079,0.924,0.046,0.081,0.165,0.097,0.022,0.006,0.938,0.073,0.036,0.018,0.734,0.948,0.286,4.494,4.57,5.331,0,0.002,0.463,0.015,0.803,0.662,0.015,0.51,0.011,0.004,0.548,0.31,421.99,356.672,1.183,10,4,174.19,3,4,9,12,0,25,0.12,0,0,0,0,1,1,0,0,3,0.461,2.958,0,56,0.029,2,1,0,0,Accepted,Accepted,Rejected,Accepted
SITAGLIPTIN PHOSPHATE,,O.N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F.O[P](O)(O)=O,34,69,SUCCESS,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,-0.783,1.932,0.694,0.002,0.16,0.006,0.001,0.002,-4.848,1.68E-05,0.029,36.08%,2.973,65.01%,0.07,0.089,0.15,0.695,0.196,0.148,0.077,0.285,0.288,0.445,5.894,0.36,0.188,0.959,0.122,0.713,0.402,0.913,0.152,0.676,0.003,0.006,0.835,1.05,2.055,2.704,7.087,0.619,0.03,0.062,0.113,0.254,0.022,0.074,0.673,0.003,0.01,0.022,0.015,407.12,343.983,1.184,6,2,77.04,6,3,9,12,0,17,0.353,1,0,0,0,1,2,1,3,0,0.622,3.251,0.438,71.739,-1.404,0,0,0,0,Accepted,Accepted,Rejected,Accepted
KETOCONAZOLE,,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,36,69,SUCCESS,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.729,3.647,4.096,0.999,0.997,0.003,0.003,0.011,-5.396,2.90E-05,0.022,96.54%,1.905,1.02%,0.412,0.462,0.906,0.242,0.946,0.114,0.934,0.396,0.972,0.922,7.358,0.371,0.948,0.904,0.978,0.965,0.856,0.154,0.941,0.568,0.003,0.01,0.014,1.863,3.961,4.644,4.034,0.001,0.018,0.958,0.946,0.173,0.011,0.013,0.924,0.688,0.958,0.488,0.946,530.15,501.312,1.058,8,0,69.06,8,5,6,10,0,29,0.276,2,0,1,1,0,2,1,1,2,0.455,3.437,0.385,94.889,-0.767,3,0,0,1,Accepted,Rejected,Rejected,Rejected
ISOPROTERENOL SULFATE,,O.O.CC(C)NCC(O)c1ccc(O)c(O)c1.CC(C)NCC(O)c2ccc(O)c(O)c2.O[S](O)(=O)=O,37,69,SUCCESS,CC(C)NCC(O)c1ccc(O)c(O)c1,-2.022,0.414,0.141,0,0.007,0.013,0.003,0.084,-4.96,7.28E-06,0.017,26.44%,2.232,77.93%,0.075,0.106,0.032,0.276,0.007,0.568,0.053,0.588,0.006,0.339,17.088,0.81,0.047,0.107,0.016,0.143,0.194,0.831,0.923,0.039,0.003,0.018,0.258,0.737,3.225,3.152,4.591,0.004,0.002,0.014,0.003,0.078,0.006,0.003,0.017,0.009,0.007,0.026,0.007,211.12,219.714,0.961,4,4,72.72,4,1,6,4,0,6,0.667,1,0,0,0,0,1,5,0,2,0.563,2.599,0.455,16,0.496,2,0,1,1,Accepted,Accepted,Accepted,Accepted
FLUVASTATIN SODIUM,,[Na+].CC(C)n1c2ccccc2c(c3ccc(F)cc3)c1\C=C\[C@H](O)C[C@H](O)CC([O-])=O,31,69,SUCCESS,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,-4.601,0.936,2.059,0.005,0.927,0.007,0.004,0.994,-4.82,1.17E-05,0.072,97.17%,0.293,0.76%,0.33,0.069,0.16,0.343,0.887,0.973,0.008,0.209,0.154,0.723,6.224,0.287,0.706,0.981,0.326,0.034,0.024,0.986,0.13,0.87,0.003,0.041,0.841,1.735,4.282,5.483,6.975,0.91,0.055,0.898,0.866,0.333,0.007,0.795,0.527,0.005,0.025,0.592,0.049,410.18,425.17,0.965,5,2,85.52,8,3,9,6,-1,18,0.444,2,1,0,0,0,1,1,1,2,0.597,3.616,0.292,40,-0.133,0,0,0,0,Accepted,Accepted,Rejected,Accepted
EPHEDRINE SULFATE,,CN[C@@H](C)[C@H](O)c1ccccc1.CN[C@@H](C)[C@H](O)c2ccccc2.O[S](O)(=O)=O,29,69,SUCCESS,CN[C@@H](C)[C@H](O)c1ccccc1,-0.839,1.082,0.974,0,0.033,0.026,0.004,0.002,-4.99,3.23E-05,0.895,26.31%,3.162,69.71%,0.203,0.25,0.053,0.9,0.008,0.231,0.414,0.866,0.012,0.304,8.342,0.403,0.044,0.381,0.018,0.01,0.626,0.784,0.115,0.032,0.003,0.031,0.846,0.688,2.514,3.183,3.623,0.002,0.001,0.074,0.003,0.417,0.006,0.003,0.019,0.009,0.008,0.004,0.005,165.12,184.837,0.893,2,2,32.26,3,1,6,2,0,6,0.5,2,0,0,0,0,0,0,0,0,0.708,2.567,0.4,12,0.43,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CEPHALOGLYCIN,,O.O.CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O,30,69,SUCCESS,CC(=O)OC=C1CSC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,-1.517,-0.344,-0.351,0,0.537,0.124,0.003,0.001,-6.169,5.58E-06,0.052,20.07%,0.292,74.29%,0.007,0.016,0.048,0.058,0.027,0.114,0.291,0.098,0.192,0.132,2.109,0.928,0.008,0.142,0.963,0.009,0.196,0.006,0.431,0.115,0.003,0.019,0.304,-0.102,2.896,4.079,4.66,0.004,0.002,0.017,0.004,0.065,0.006,0.005,0.237,0.003,0.005,0.032,0.096,405.1,377.364,1.073,9,4,139.03,7,3,8,10,0,20,0.35,4,0,0,0,0,0,4,0,2,0.353,4.125,0.333,66.667,0.835,2,1,0,0,Accepted,Accepted,Rejected,Accepted
MECLIZINE HYDROCHLORIDE,,[H+].[H+].O.[Cl-].[Cl-].Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,33,69,SUCCESS,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,-4.01,4.588,5.312,0.993,0.083,0.003,0.04,0.656,-4.887,8.84E-06,0.979,97.41%,2.656,1.69%,0.364,0.913,0.853,0.835,0.499,0.6,0.992,0.883,0.626,0.935,11.33,0.027,0.984,0.569,0.036,0.011,0.769,0.794,0.033,0.044,0.003,0.008,0.871,2.587,4.577,5.403,4.952,0.025,0.005,0.003,0.061,0.284,0.01,0.003,0.592,0.005,0.01,0.329,0.738,390.19,420.207,0.929,2,0,6.48,5,4,6,3,0,24,0.208,1,1,0,0,0,1,0,1,0,0.563,2.294,0.28,65,-1.463,0,0,0,0,Accepted,Rejected,Rejected,Accepted
