,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MLOGP,-0.1994288610511051,-0.16506840553040467,0.035334291388078504,-0.05797212279771252,0.03887259847381096,0.0020885497327399424,-0.03880692920579173,0.05908050689667602,-0.09121946635113919,-0.050848944152992674,0.05436888103817296,0.2303433368902422,-0.18551382665662547,-0.06327202868913596,-0.07642636208116113,0.013749810019238593,0.03008334907096733,0.11408097718787052,-0.07688833816684752,-0.022430721409961708,-0.09760413107640553,-0.1816832401212821,-0.11507263929352021
Silicos-IT Log P,-0.11194986168887117,-0.2371582185482189,0.045243718404737586,-0.07628663292478347,-0.06348951197788753,0.05035220509455346,-0.1064159251431113,0.08812713691781578,-0.1312004962048498,-0.04564714740806508,0.03173417986645713,0.12629032497576073,-0.07182663462635394,-0.23971893468949734,-0.0526345940611214,0.045358435879581376,-0.08685637611709389,-0.017882234054739824,0.06489933600113407,-0.2834948843158167,-0.13080784418239,-0.012187952396747657,-0.0759652900046453
Consensus Log P,-0.15191967167912335,-0.19885106994331775,0.035137064893175085,0.008940028834744674,0.05703960366951162,0.32015206839308163,-0.06466576706058454,0.306814751029483,-0.028195624267867207,-0.012808773805241478,-0.04868772889201597,0.1109814493310131,0.06752426236838506,-0.013722002915020251,0.028728779525754762,0.029340110468978196,-0.036270216646800184,0.02879929680945632,-0.015042842594745542,0.06927368575209036,0.06357166192552144,0.004783513638326136,0.04039862293908786
ESOL Log S,0.07566247224708002,0.2841128758956916,0.013795726669438697,0.10030997087782638,-0.07470903312830429,0.10817372799894351,-0.057237174172684785,-0.009505506295208344,-0.07065777372627277,0.02386102646961953,-0.029779826273156146,0.04119492841777001,0.013828664962503965,-0.12647613667691437,-0.09274590767904303,0.0807227592814065,-0.014230743096859984,0.0018116423444172521,-0.02276849832002653,0.010812813634023258,0.02924787830632577,-0.00139675621694755,0.03696589415773526
ESOL Solubility (mg/ml),0.05229385800447965,0.028317465166046524,0.48997707188942513,-0.0415550704785999,0.0250908793122512,-0.03192017791180244,0.03353064384612765,0.01959113669837513,0.01064107992928041,-0.0027362679688759267,-0.005259958666311511,0.01408316351650832,0.0019786782394394385,0.009115274149962537,0.002228777134521311,-0.0011395638305744737,0.0061215552402300345,0.003461214166547998,0.001596718788641662,0.0007037872205834469,0.00026950235593392645,0.0011846980920465896,0.005267803522278277
ESOL Solubility (mol/l),0.0521584327973047,0.028268994227109837,0.4900177330325787,-0.04171075623954269,0.025209295716780458,-0.032057389462828385,0.03384362299136295,0.019755328562847268,0.010709804806212309,-0.00274195932441748,-0.005273785406903462,0.014352403806219268,0.0020522855916929707,0.00927740551219165,0.0022987644194357813,-0.0011990923084883032,0.006228865846576289,0.0035059796917900426,0.0015829148812777855,0.0007177933294101704,0.00021308864404757542,0.001482865325069737,0.005608578408497943
ESOL Class,0.06502384056271993,0.278074487783159,-0.025218298051046206,0.08950664188107364,-0.07158282148428377,0.09704002407542164,-0.05422256138160676,0.026649100827799192,-0.05370411413691861,-0.002963775013083994,-0.04214357737970155,0.04166723693178234,0.014916670336308353,-0.1388315214079415,-0.09970731811241806,0.11053326509662174,0.021704868292646746,0.04175708802221552,0.03427162404345306,-0.0025142561524526983,0.05083820664125455,-0.02685625242224175,0.07501827597155239
Ali Log S,0.04642467355778594,0.2800324120515363,0.03227851386750933,0.10595202095001337,-0.10535987501949351,0.0933791857326677,-0.13790071432416048,0.0006120423321822914,-0.10714846884747829,0.025164808363128767,0.017497825999686627,0.09662625033350446,-0.010857820173551613,-0.14393616556222807,-0.07366364439792887,-0.034234058831035794,-0.042181094394249476,0.09827586218312827,-0.024314573801644646,-0.05465352402167199,0.05883066830938786,-0.12507161658963403,-0.191313072654151
Ali Solubility (mg/ml),0.051534625688510916,0.02802422849212584,0.4900930884945863,-0.042394407333132246,0.025737743172449604,-0.032717972716971515,0.0350854893068422,0.020427474264449193,0.011049210159954904,-0.0027831264418301015,-0.005409619992725475,0.01534032397970003,0.002269125188600496,0.010011087606839554,0.0025330467065109823,-0.0012955000870907582,0.006762605886419439,0.0038165381727427944,0.001733026703272188,0.0007232416447372732,-2.7250814089738694e-05,0.0021287886773906223,0.006919116281463195
Ali Solubility (mol/l),0.051465625704016305,0.02799882852004667,0.49008907732883833,-0.04246985849077371,0.02579584389479358,-0.03278501556346425,0.03523148225897865,0.020501859721317787,0.011081014321898536,-0.0027850379021161593,-0.005416803981168877,0.015461091839653513,0.002299184449616744,0.010093017483998996,0.002565586629582638,-0.0013178431817988793,0.0068157241044809625,0.0038467875416270817,0.001736000370072148,0.0007314598140503362,-5.2460955366860976e-05,0.002228286436164347,0.007063907902727012
Ali Class,0.03696902191693435,0.2728330302198,-0.014121109279420244,0.08426513016484705,-0.10615620862069622,0.08602662364363244,-0.1319684918929082,0.040929167176111496,-0.11592510558760766,-0.007227486573020132,0.004348783001927274,0.10009755337690017,0.00013177611757831179,-0.18400512003189082,-0.09736134643027872,-0.02839585236199031,-0.0005647811755317214,0.15636860061526092,-0.003794730663899363,-0.1211608881669903,0.11320289625371902,-0.11920810139153787,-0.16317601767121925
Silicos-IT LogSw,0.03464632438649333,0.2742319765769158,-0.029626921613261473,-0.021635054988589437,0.12215419145976746,0.09460966024556634,0.12446903902231021,-0.09753625335982355,0.05120673518005273,0.016351559786125874,0.034324901992779475,0.03809422896199914,-0.08465361636542544,0.10959676123469902,0.024974828392487526,-0.030182800969238213,0.1322386852974502,0.10676434153893545,-0.2013979084998948,0.2161075203929281,0.08485238328308758,0.050759561393057276,0.05996342243466391
Silicos-IT Solubility (mg/ml),0.04323854231016684,0.012920530959458724,-0.01949769016152059,0.36703442354561294,0.5444920203671872,-0.1771889128829074,0.04255119811357884,0.10509064743603289,-0.09043976838068699,0.0026652922617388967,-0.007417693341007031,0.04318892676404646,0.0095150058305085,-0.04120101546079114,-0.01300599173837051,0.007825069771795283,-0.019207922204327734,0.0015342447266493944,0.03284234509338534,-0.042311159923681924,-0.006837592663341256,-0.04099388503392376,-0.008593150360850345
Silicos-IT Solubility (mol/l),0.04324494263187526,0.012924400616915722,-0.019499605780894515,0.3670379102599805,0.5444917922535611,-0.17717871188288348,0.042548183949269486,0.10508140670254694,-0.09043928464349639,0.002669000687140231,-0.007409425225197406,0.04318117347322083,0.009515849404069535,-0.04119040629607686,-0.012996448460114638,0.007814088715813877,-0.019214862326408517,0.0015291662196606545,0.0328313584661009,-0.042300279142149746,-0.006834169807651733,-0.04097932152765046,-0.008602132936132963
Silicos-IT class,0.009073878274864403,0.2513973576237616,-0.03688668364178218,-0.08713530589792183,0.0939446810499159,0.09800451129717873,0.11199142714674563,-0.01975761471834343,0.19165165695981637,-0.08180259973172734,0.006640785376297921,0.12143681619326933,-0.11893087471702193,0.13513583682233055,0.020199205062938288,0.022132476258020586,0.17132368180063567,0.15107713812961593,-0.21358222516241712,0.30693787028604064,0.04881164981145403,-0.06033327930997599,0.1591308782709472
GI absorption,-0.19564891551356842,0.008206246813651147,0.05392487413067774,0.10239131794477659,0.051338788162849945,0.028791837755372918,-0.2942323766311843,-0.08089371666708652,0.2535072447207029,-0.025534585664871302,0.04086766742798655,-0.14761972064155018,0.10667560786192153,-0.2828326570572284,-0.003330537120565657,-0.2313961879781924,0.04136326627122829,-0.028032252288671435,-0.3512364381155453,0.13531206370220245,-0.27944157833950345,0.20068569180629728,0.15185786587298447
BBB permeant,-0.13234112410651602,-0.038099490274294566,0.0550195902024491,0.1691306020099681,-0.014556680267133155,0.09442362418467956,-0.10101640982247229,-0.10266578181924985,0.008781507197464726,-0.29135451235829185,0.6147696233129533,-0.028787230272430984,-0.0207075542153997,-0.04157330404628644,-0.19558055707199692,-0.08758065262713595,0.25160232663752713,-0.18343550149390128,0.3725746274816737,0.29845369843451375,0.17484378537547787,0.06288079403471748,-0.1111247894162729
Pgp substrate,0.10875292656952909,-0.08942634985424727,-0.010146266620231886,-0.10465974300239145,0.04821371606817289,-0.16402873303638502,-0.22690275986419622,-0.30100831886900015,0.0482380909663606,0.1752274573390547,0.17505435004132314,0.44722933160247885,0.2961686945985975,-0.1699593744593123,0.25447410046411906,-0.028005690648239236,-0.36110789799572873,-0.008974460331280836,0.07724819670311457,0.16581280170891466,0.2875732780579449,-0.06761566122260929,0.2711849127956549
CYP1A2 inhibitor,-0.08761336419189067,-0.05337205922473651,0.04852406870716819,0.3186753728163227,-0.14852180762639686,0.08239181906392916,0.17834282026979845,-0.15568629835382167,0.051370678735887916,-0.24348798146983872,0.18511867922606076,-0.08654336525432513,0.24657006181812632,-0.03926820882113063,0.5168913302501981,0.3887344724888369,0.14826902853078947,0.019873924813732107,-0.29158878040263597,-0.272412162214315,0.12160310211495899,-0.08648093647148729,-0.08480792640075281
CYP2C19 inhibitor,-0.07695697976519418,-0.08916023956931203,0.05408405623583067,0.3476541785818978,-0.1470026728460432,0.16352976884304019,0.22782795864202857,-0.2673461190706985,0.008415661386642391,-0.02862083584870253,-0.12454456630195532,-0.04374104135269688,-0.08369813582473948,0.007025876084762278,0.10383165657689215,0.006349198385379904,-0.346728117708976,0.45283873981311873,0.3574123837747642,0.26462723778149894,-0.31613459679240213,0.13482894374064464,-0.025504356310168872
CYP2C9 inhibitor,-0.07955064507427807,-0.10878941313320593,0.05223552515839633,0.2523381991292329,-0.05329863031975319,0.2329873648753143,0.2581337693605008,-0.23138491626992141,0.09306435779194018,-0.0015003636687598361,-0.05890408263710073,-0.03408029966140132,-0.38125648553416835,-0.009656848626274101,-0.19452216160984884,-0.23540523211827405,-0.32447339325806,-0.3400081388380309,-0.21339882121650455,-0.13517949614296335,0.3282607687040886,-0.2177262617278726,0.18183155004458054
CYP2D6 inhibitor,-0.0917523087178131,-0.09609154428765292,0.053185617713921565,0.16286242575413792,-0.05072511932439603,0.003721273699820132,-0.21981631084885064,-0.14923502753902215,-0.22461165975206637,0.2893186436940468,0.26842113802581385,0.0298601964034315,0.12339023962002187,0.5255898400414475,-0.3729486423727426,0.1689419939105426,-0.08857406178418817,0.22447122622175356,-0.2935609216365028,-0.1250393581488973,0.017940540415692777,0.17490941012965527,0.0442263468013009
CYP3A4 inhibitor,-0.02992968311309945,-0.11525913873867076,0.03528037583334253,0.16052935047620775,-0.01644116843721457,0.22943883092709855,0.09871796417595742,-0.32916456968662366,-0.06671867407628573,0.4106922373903391,-0.2741976894940641,0.16857218751023614,0.26461602979447274,-0.019968003862240805,-0.06942496438729351,-0.1556985239267186,0.5520772208204171,-0.16883371304717787,0.18126961497485491,-0.07188725060635731,-0.08471509637399581,-0.08509705243979657,0.011116221296581241
log Kp (cm/s),-0.25127457137534337,-0.11157182101887407,-0.011951874610284983,-0.12407801868861136,0.08320671955000541,-0.05969579555254267,0.14506123464732992,0.01948243436555454,-0.01069398311081541,-0.0022248974744279847,0.001236334995196136,-0.061577084262726116,0.0017118710031327304,0.09207795425274246,0.01838488919207511,0.05045379415177653,0.09285120387857794,0.05199930848102017,-0.0031509707138875397,0.08156579192270652,0.06088633261865179,-0.0034218078215888723,0.20433369866139667
Lipinski #violations,0.230532158157907,-0.11419418325706439,-0.016412185226244852,0.004138620361581066,-0.03972529855100542,0.0689293662362263,0.0963424315111373,0.07982628264961932,-0.12069298163927217,-0.018050829501866802,0.2429808299455536,0.014496619067893441,0.018080004731665458,-0.0008585197805252333,0.042304098141043814,-0.24301743564787867,-0.019942433220897445,0.021982766424288494,-0.09391012694238322,-0.020736003705535716,-0.16790358570415198,-0.12346669853087942,0.014784139945106902
Ghose #violations,0.1879983605248826,-0.066590892679259,-0.02570179686123415,-0.11415009070630665,0.026965068333081176,0.03513438495896,0.20128502140950566,0.04369996219980278,-0.277555299649026,0.09021984689767508,0.015693976929107144,-0.2264340858612363,0.1351103434397756,-0.11011113447980919,0.1327421264608685,-0.38367228494701944,0.05876346578098278,0.3196911163913042,-0.02013745767070788,-0.038408509404843263,0.38576259857467726,0.16669637439542878,0.013935832200383417
Veber #violations,0.24042542550391005,-0.07319485275505297,-0.03148822058286651,-0.018562708485695682,-0.057554499516659405,0.016178494837166123,0.13206739789410332,0.021151633416616987,-0.13445218688455787,-0.0396883873406319,0.05330077368202991,0.09919567881512074,0.020687920914671722,-0.04125054692626897,-0.08705733999547369,0.3124960312566181,0.03613254464137146,-0.1754807017181503,0.09107205741065098,0.11811040724454455,-0.03815121841069796,0.022990124461061606,0.12821250547449867
Egan #violations,0.2121705479453132,-0.06432776097069988,-0.04654706247042581,-0.03953510632652518,-0.0767763466679919,-0.0042285511810523715,0.2712329098128649,0.09103633648120162,-0.10990554046620837,-0.055317182467482524,-0.025244305137743894,0.3304790246576923,-0.18438061648052212,0.07970077647804699,-0.05479432906273617,0.24154978340062153,0.054004312950093364,-0.06425096990586512,0.024319600734627734,0.04971541505687084,0.097725991391551,0.21702875260935425,-0.019581645686653774
Muegge #violations,0.2342682453632427,-0.039075717148474715,-0.016783082602012975,0.0047113533310151005,-0.024017605819534448,0.09321291572720626,0.11440043191221527,0.04606143119986546,-0.18264350034823057,-0.09930604607504782,0.24360077776818223,-0.16963189372714865,0.01629089882639251,-0.07011819725652285,-0.03679322741937363,-0.19932160965008977,0.05847928860297513,0.08719777589521885,-0.012971630234120297,-0.1722056176343099,-0.06382996207447995,0.16188501281985368,0.2173727070893809
Bioavailability Score,-0.22067329305532613,0.06122088548854966,0.035327118777910914,-0.0020540721920644014,0.05810624723913324,-0.06234842678977955,-0.12029531837670873,-0.09537280445008856,0.07655499335853036,0.02316022918987667,-0.2048913554486792,-0.19083699530333798,-0.07655086231898003,-0.09326199459538283,-0.04921872392809115,0.15276020961276676,-0.01939616415294426,-0.01252029286083791,0.18459948418178096,-0.13807239790334028,0.4328218984787054,0.493601993199894,-0.10471090867379915
PAINS #alerts,-0.007066503867815651,-0.01958949314391923,0.002300055171913113,0.07880096933217906,-0.0785354625766865,-0.0484620337958688,0.1182901537491191,0.23921169549279944,0.25187044967117045,0.6967874421414058,0.3506160350125348,-0.12469389507772538,-0.31005263591140597,-0.2570140743905956,0.1273721532863156,0.17745645575988755,0.06641679502081589,0.06430288068291216,0.023841261839466634,0.04099885106238479,0.00795156827218045,-0.010045759291339131,-0.017681738937060192
Brenk #alerts,0.07921998509485975,-0.022875467691979942,-0.0470167635955764,-0.049979076878701005,0.01152848994999429,-0.009965387148546568,0.34892471864395636,0.11045613604075123,0.5349839844358504,-0.029608786594683037,0.07619519091818451,0.01360606288568797,0.4807100825485039,-0.053672290422616786,-0.44919488625172865,0.02142433419551267,-0.15806858000023954,0.1248273226353861,0.04076508198468158,-0.14466577864370955,0.04230489032960886,-0.05861809238767005,-0.1496688897333035
Leadlikeness #violations,0.08408864404895328,-0.18692710532239343,0.011633018172312787,-0.09613073158596357,0.06979453860761771,0.02338007423980634,0.09064942291929617,-0.146592478146754,-0.2801912085114885,0.08721843425913389,-0.06162224661979822,-0.24303419760879225,0.12881323403891123,-0.26708155024378094,-0.14372099135737462,0.1688009912341604,-0.1480159834449914,-0.20178202012066151,-0.33096632321836417,0.4338854758792236,-0.00966821665996447,0.02443544593359538,-0.4058168663484754
Synthetic Accessibility,0.18591904740361193,-0.1504850320410767,-0.014416125567026908,-0.09427298036644174,0.14643848812475788,0.15989774223755032,-0.08072002826064134,-0.10683379424083779,0.1995469176930378,0.02791673885058047,0.04045521640835947,0.09091097647968216,-0.0702714739369852,0.1575441917583191,0.1735057275947762,-0.08255552609219594,-0.010095499248421829,-0.1379196265242659,0.025042876514980637,-0.06567475568794773,-0.016026238051884908,0.16282910431257372,-0.30341567565314975
